date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:55:35	102/102	---M--	200	added ('OK')	text/plain	etag:%2266-40dfeea252600%22	http://letsdance.ho.ua/robots.txt		(from )
18:55:36	7495/7495	---M--	200	added ('OK')	text/html	etag:%221cbf-4c999c92a1440%22	http://letsdance.ho.ua/	C:/My%20Web%20Sites/Site/letsdance.ho.ua/index.html	(from )
18:55:37	4669/4669	---M--	200	added ('OK')	text/css	etag:%22123d-4ac1e0f44b500%22	http://letsdance.ho.ua/SpryAssets/SpryMenuBarVertical.css	C:/My%20Web%20Sites/Site/letsdance.ho.ua/SpryAssets/SpryMenuBarVertical.css	(from http://letsdance.ho.ua/)
18:55:38	31680/31680	---M--	200	added ('OK')	image/jpeg	etag:%227bc0-4acbd65c442c0%22	http://letsdance.ho.ua/bg.jpg	C:/My%20Web%20Sites/Site/letsdance.ho.ua/bg.jpg	(from http://letsdance.ho.ua/)
18:55:38	2828/2828	---M--	200	added ('OK')	application/javascript	etag:%22b0c-4fe379eb28a80%22	http://line.ho.net.ua/hoad.js	C:/My%20Web%20Sites/Site/line.ho.net.ua/hoad.js	(from http://letsdance.ho.ua/)
18:55:38	7495/7495	---M--	200	added ('OK')	text/html	etag:%221cbf-4c999c92a1440%22	http://letsdance.ho.ua/index.html	C:/My%20Web%20Sites/Site/letsdance.ho.ua/index-2.html	(from http://letsdance.ho.ua/)
18:55:38	7492/7492	---M--	200	added ('OK')	text/html	etag:%221cbc-4c999b3595cc0%22	http://letsdance.ho.ua/2.html	C:/My%20Web%20Sites/Site/letsdance.ho.ua/2.html	(from http://letsdance.ho.ua/)
18:55:39	7436/7436	---M--	200	added ('OK')	text/html	etag:%221c84-4c999b41fba00%22	http://letsdance.ho.ua/3.html	C:/My%20Web%20Sites/Site/letsdance.ho.ua/3.html	(from http://letsdance.ho.ua/)
18:55:39	5287/5287	---M--	200	added ('OK')	text/html	etag:%22141f-4c999b6ce5f40%22	http://letsdance.ho.ua/4.html	C:/My%20Web%20Sites/Site/letsdance.ho.ua/4.html	(from http://letsdance.ho.ua/)
18:55:39	7076/7076	---M--	200	added ('OK')	text/html	etag:%221b1c-4c999b7763800%22	http://letsdance.ho.ua/5.html	C:/My%20Web%20Sites/Site/letsdance.ho.ua/5.html	(from http://letsdance.ho.ua/)
18:55:40	8842/8842	---M--	200	added ('OK')	text/html	etag:%222202-4c999b7ff8c40%22	http://letsdance.ho.ua/6.html	C:/My%20Web%20Sites/Site/letsdance.ho.ua/6.html	(from http://letsdance.ho.ua/)
18:55:40	6049/6049	---M--	200	added ('OK')	text/html	etag:%221719-4c999b8a76500%22	http://letsdance.ho.ua/9.html	C:/My%20Web%20Sites/Site/letsdance.ho.ua/9.html	(from http://letsdance.ho.ua/)
18:55:40	5312/5312	---M--	200	added ('OK')	text/html	etag:%221438-4c999b930b940%22	http://letsdance.ho.ua/10.html	C:/My%20Web%20Sites/Site/letsdance.ho.ua/10.html	(from http://letsdance.ho.ua/)
